"Varsta","Sex","Educatie","Venit","Vot"
"33","1","2","7.14","1"
"42","0","2","9.26","1"
"43","0","2","5.24","0"
"33","1","1","5.59","1"
"59","0","1","4.84","1"
"45","1","2","3.97","1"
"28","1","0","4.7","0"
"47","1","0","3.55","0"
"30","0","1","6.07","1"
"48","1","0","4.46","0"
"52","1","0","6.47","1"
"32","1","0","2.89","1"
"50","0","0","6.66","1"
"44","0","0","7.67","1"
"48","1","2","2.01","1"
"59","0","1","6.75","0"
"38","0","1","8.46","1"
"32","0","1","3.58","1"
"31","0","0","9.35","1"
"32","0","2","6.84","1"
"39","0","2","4.59","0"
"43","0","0","5.89","1"
"43","0","1","7.12","1"
"48","0","2","6.15","1"
"40","0","2","7.08","1"
"55","1","1","4.16","1"
"37","1","1","6.34","1"
"67","0","0","3.17","1"
"46","1","2","5.78","1"
"31","1","0","4.19","0"
"29","0","2","4.53","1"
"45","0","1","8.47","1"
"38","0","1","8.18","1"
"47","1","1","7.22","1"
"45","1","0","3.82","0"
"39","0","0","5.37","0"
"32","0","0","8.43","1"
"25","0","0","6.28","1"
"36","1","2","10.64","1"
"49","1","1","6.79","1"
"42","1","0","6.38","1"
"28","1","2","5.38","1"
"42","0","2","6.27","1"
"44","0","2","5.7","1"
"31","0","2","7.42","1"
"42","0","0","7.91","0"
"41","1","1","4.43","0"
"29","1","2","3.34","1"
"44","0","1","2.33","1"
"46","0","0","7.02","1"
"51","1","2","3.79","1"
"51","0","0","1.69","0"
"26","1","0","6.78","1"
"31","0","1","10.99","1"
"45","0","1","5.99","1"
"45","0","1","7.68","1"
"45","0","0","6.16","0"
"79","0","2","5.8","1"
"46","0","0","7.84","1"
"51","0","0","5.42","1"
"50","1","2","6.53","1"
"47","1","2","6.64","1"
"37","1","2","4.66","1"
"48","1","2","7.98","1"
"32","1","1","5.65","0"
"38","0","1","4.49","1"
"35","0","0","7.07","1"
"41","1","1","4.2","1"
"63","0","1","6.06","1"
"21","1","0","5.98","0"
"47","1","2","8.17","1"
"24","0","1","6.95","1"
"35","0","0","5.95","1"
"51","0","0","7.64","1"
"41","1","1","8.78","1"
"29","0","0","7.12","1"
"33","1","2","6.02","0"
"47","1","1","3.38","1"
"33","1","1","3.87","0"
"42","0","1","5.39","1"
"40","0","2","4.78","1"
"33","1","1","5.63","1"
"61","0","1","6.11","1"
"46","0","1","7.06","1"
"20","0","0","5.86","1"
"42","1","2","6.97","1"
"33","1","2","6.13","1"
"49","0","1","2.05","1"
"32","1","2","4.12","0"
"39","0","2","5.71","1"
"45","0","2","3.58","1"
"49","0","2","7.2","1"
"28","0","1","9.06","1"
"37","1","1","8.44","1"
"35","1","1","5.57","1"
"33","1","2","8.98","1"
"58","0","0","6.3","1"
"44","0","2","5.33","1"
"27","0","2","4.77","1"
"49","1","0","5.4","1"
"61","0","2","5.22","1"
"50","1","0","6.34","1"
"25","1","1","6.32","0"
"35","1","2","6.01","1"
"53","1","0","6.87","1"
"33","1","2","8.38","1"
"44","1","2","7.9","1"
"48","0","1","3.03","1"
"31","0","0","0.89","0"
"39","1","0","7.87","1"
"8","1","1","3.27","0"
"30","0","2","5.55","1"
"37","1","1","3.66","1"
"28","1","0","2.4","1"
"56","0","1","7.08","1"
"26","1","1","7.52","1"
"36","1","2","4.85","0"
"41","1","0","0.82","0"
"54","0","2","4.91","1"
"26","0","1","6.78","1"
"52","0","2","3.04","1"
"40","1","1","6.37","1"
"30","1","1","5.97","0"
"45","0","2","7.16","1"
"42","1","0","6.24","1"
"34","1","2","4.05","1"
"41","1","1","8.39","1"
"36","1","0","5.68","0"
"41","1","1","5.95","0"
"47","0","2","4.13","1"
"56","1","0","5.11","1"
"28","0","1","4.23","1"
"61","1","1","5.65","1"
"20","0","1","9.42","1"
"38","1","0","3.26","1"
"46","0","2","2.77","1"
"43","1","2","8.94","1"
"34","0","2","5.58","1"
"38","1","2","4.66","1"
"35","0","0","8.08","1"
"34","1","2","4.79","1"
"48","0","0","9.65","1"
"44","0","0","7.36","1"
"33","1","1","5.02","1"
"49","1","1","10.31","1"
"43","0","2","4.79","1"
"48","1","1","7.48","0"
"46","0","1","6.6","1"
"32","0","0","8.6","1"
"34","0","2","9.12","1"
"47","1","1","6.06","1"
"46","0","1","4.49","1"
"40","0","0","6.92","1"
"41","1","2","4.64","0"
"53","1","1","10.03","1"
"34","1","0","6.27","0"
"45","1","0","5.27","0"
"38","0","1","6.37","1"
"38","0","1","3.31","0"
"51","0","0","4.06","1"
"48","0","2","8.4","1"
"48","1","0","4.69","1"
"53","0","1","3.91","1"
"40","0","2","7.07","1"
"47","1","1","8.37","1"
"37","0","1","7.44","1"
"43","0","1","7.99","1"
"39","0","0","4.49","1"
"41","0","2","3.16","1"
"46","0","1","9","1"
"32","0","2","5.35","1"
"61","1","0","5.5","1"
"30","1","0","8.66","1"
"28","0","0","7.11","0"
"52","0","1","6.91","1"
"48","1","1","10.33","1"
"46","0","2","4.71","1"
"46","0","1","7.86","1"
"40","0","2","6.11","1"
"31","1","0","6.54","0"
"41","0","2","9.06","1"
"33","1","2","7.02","1"
"50","0","2","7.08","1"
"39","1","2","8.15","1"
"32","1","2","5.27","0"
"37","0","1","4.32","1"
"44","1","0","3.91","1"
"34","0","0","2.07","0"
"32","1","2","10.11","1"
"42","0","1","3.79","1"
"42","0","2","5.56","1"
"35","1","1","5.45","1"
"35","0","0","6.61","1"
"42","0","0","7.63","1"
"26","1","1","7.72","1"
"26","0","1","4.83","1"
"33","0","0","5.67","0"
"38","1","1","6.57","1"
"43","1","0","5.5","1"
"55","0","1","9.21","1"
"49","0","0","6.98","1"
"38","1","2","7.47","1"
"40","1","1","7.33","1"
"30","0","1","8.35","1"
"40","1","0","6.36","1"
"37","0","0","3.41","1"
"43","0","1","6.8","1"
"32","0","1","4.7","1"
"45","0","1","4.94","1"
"55","0","0","7.17","1"
"39","1","1","8.48","0"
"44","1","2","6.04","1"
"47","1","2","6.62","1"
"36","1","0","9.4","1"
"42","0","1","6.48","1"
"40","0","0","11.2","1"
"41","0","0","7.13","1"
"32","0","2","2.48","0"
"40","1","0","7.51","1"
"45","0","1","6.76","1"
"55","0","1","8.58","1"
"50","1","2","7.35","1"
"62","1","1","5.72","1"
"32","1","0","3.55","0"
"49","1","1","5.58","1"
"42","0","1","4.3","1"
"62","0","0","4.84","1"
"32","1","1","7.18","0"
"32","0","0","9.34","1"
"34","0","0","6.79","0"
"19","0","1","3.61","1"
"35","1","0","6.89","0"
"32","0","1","8.39","1"
"42","1","1","4.78","0"
"43","0","2","5.73","0"
"59","0","0","6.03","1"
"50","0","0","4.43","0"
"34","1","0","7.3","1"
"31","0","1","5.76","1"
"45","1","2","6.84","1"
"27","1","0","4.23","0"
"58","1","2","5.13","1"
"52","0","0","7.44","1"
"35","0","1","5.25","1"
"23","0","2","9.45","1"
"54","0","2","5.2","1"
"39","1","2","6.45","1"
"52","1","2","7.87","1"
"24","1","1","3.16","1"
"34","0","2","2.48","1"
"40","1","0","2.95","0"
"40","0","2","8.53","1"
"35","1","1","4.9","1"
"46","0","2","11.12","1"
"29","0","1","4.87","1"
"39","1","1","6.37","1"
"41","1","1","9.08","1"
"45","1","2","10.01","1"
"47","1","0","10.12","1"
"29","0","0","8.42","1"
"25","1","0","8.05","1"
"53","1","0","7.19","1"
"43","1","2","7.56","0"
"33","0","0","4.9","0"
"56","0","2","4.36","1"
"41","1","1","5.99","1"
"52","0","0","5.66","1"
"41","1","2","5.09","1"
"61","0","1","7.39","1"
"58","0","1","7.91","1"
"38","0","1","6.18","1"
"50","0","2","8.96","1"
"46","1","0","3.72","1"
"54","1","2","5.61","0"
"30","1","2","4.57","0"
"47","0","1","2.27","0"
"51","1","0","5.83","1"
"22","1","1","5.76","0"
"28","1","0","9.03","1"
"20","0","0","7.26","1"
"37","0","0","3.95","1"
"47","0","1","9.71","1"
"55","1","2","8.44","1"
"41","1","2","7.16","1"
"56","1","2","5.55","0"
"26","0","1","4.08","1"
"23","0","1","5.26","1"
"39","1","1","8.18","0"
"44","0","2","9.77","1"
"40","0","0","9.09","1"
"19","0","2","5.02","1"
"39","0","1","3.76","1"
"27","1","1","6.28","1"
"47","0","2","2.46","1"
"44","0","1","6.65","1"
"31","0","2","5.7","1"
"35","0","2","5.07","1"
"29","1","1","2.81","1"
"39","1","0","7.03","1"
"50","0","1","4.93","0"
"30","0","2","3.66","0"
"45","0","0","0.26","0"
"35","0","1","5.94","1"
"32","0","1","9.54","1"
"39","0","2","9.32","1"
"30","1","0","5.09","0"
"34","0","2","4.8","1"
"28","1","2","6.94","1"
"60","1","0","4","0"
"40","0","0","6.6","1"
"33","1","2","7.53","1"
"42","1","0","8.45","0"
"39","1","2","5.8","1"
"38","1","1","5.59","0"
"46","1","0","4.24","1"
"48","1","2","4.35","1"
"35","0","1","5.55","1"
"34","1","1","6.73","0"
"37","1","1","7.83","1"
"17","1","1","4.39","1"
"25","0","0","8.99","1"
"54","1","1","5.46","1"
"56","0","2","5.96","1"
"38","1","0","4.51","1"
"46","0","1","1.15","0"
"43","0","1","7.77","1"
"71","1","2","7.47","1"
"51","1","0","5.44","1"
"39","0","2","6.13","1"
"30","1","1","7.03","0"
"24","0","0","2.87","0"
"42","0","0","4.94","0"
"32","0","0","7.59","1"
"26","0","1","3.49","0"
"34","0","1","6.59","1"
"29","1","2","3.29","1"
"57","0","1","6.93","1"
"49","0","0","5.93","0"
"40","1","1","2.77","0"
"55","0","2","8.33","1"
"41","1","0","4.53","0"
"31","1","0","4.38","0"
"55","1","0","6.4","1"
"45","0","2","8.3","1"
"30","0","1","3.97","0"
"38","0","1","6.12","1"
"31","1","2","6.86","1"
"26","0","2","7.39","1"
